Pressure [Pa],Velocity [m/s]
111887.883,0.574542047
111890.729,0.744636165
111879.52,0.633703807
111881.516,0.777322926
111704.128,0.82794212
111731.313,0.816547338
111692.243,0.799498284
111717.017,0.785125641
111904.054,0.819938534
111927.904,0.807524286
111894.94,0.791396609
111919.919,0.776237129
111681.218,0.512827087
111685.412,0.728680638
111700.073,0.24863694
111680.367,0.378511956
111884.53,0.510754686
111890.109,0.725789403
111901.076,0.235286103
111893.238,0.401051752
111698.289,0.815299266
111721.395,0.812467572
111686.709,0.605463702
111716.449,0.708552073
111902.353,0.80583274
111923.226,0.803290456
111896.638,0.612139072
111921.125,0.701179487
112077.887,0.57625424
112079.952,0.745229928
112070.894,0.633704174
112070.924,0.771812544
112258.901,0.5787967
112261.383,0.747261619
112251.748,0.635438289
112253.054,0.768009874
112091.104,0.813852983
112110.803,0.800590829
112083.117,0.785752289
112103.848,0.769892582
112267.09,0.80972229
112278.501,0.795176171
112259.567,0.78185904
112272.675,0.766147252
112075.318,0.512325612
112078.943,0.726126685
112086.188,0.239058549
112081.181,0.423389893
112253.698,0.517370994
112258.766,0.728653314
112263.069,0.252388398
112262.222,0.44594775
112091.691,0.799389912
112106.894,0.797429247
112089.947,0.621133142
112106.345,0.697876427
112266.427,0.795669632
112275.353,0.794353456
112265.636,0.630865473
112273.59,0.696425637
111680.367,0.378511956
111893.238,0.401051752
111699.64,0.530137544
111722.771,0.634027418
111913.502,0.518388976
111928.955,0.615386966
112178.789,0.40820369
112275.664,0.398230329
112112.928,0.51461245
112116.102,0.598863044
112278.095,0.516812459
112281.27,0.58457646
110789.457,0.812471544
110833.275,0.429287045
110733.528,0.856131357
110717.534,0.393260106
111078.176,0.789215551
111119.028,0.355356766
111028.212,0.819641633
111062.22,0.341283653
110717.534,0.393260106
111119.028,0.355356766
111062.22,0.341283653
110803.657,0.835081321
110804.587,0.493387155
110786.297,0.624652576
110779.955,0.468353192
111081.057,0.811307569
111111.856,0.411238225
111055.626,0.612678306
111053.221,0.439578803
111111.856,0.411238225
111290.499,0.762936041
111286.503,0.279194763
111286.668,0.781493788
111296.383,0.297825382
111548.473,0.729620104
111569.829,0.220708812
111546.474,0.742410526
111556.094,0.247926442
111286.503,0.279194763
111296.383,0.297825382
111569.829,0.220708812
111544.391,0.222041387
111286.173,0.782637333
111285.296,0.335962112
111245.291,0.5944757
111277.582,0.397040481
111541.632,0.749022508
111558.566,0.280846346
111522.804,0.573386779
111543.81,0.339806946
111285.296,0.335962112
111559.158,0.177744577
111055.626,0.612678306
111245.291,0.5944757
111483.632,0.500320778
111768.282,0.69300224
111784.192,0.17251626
111750.205,0.701756334
111780.347,0.196498231
111958.863,0.650955748
111972.203,0.127772862
111958.566,0.658089622
111977.302,0.145577712
111797.664,0.12539405
111802.05,0.147310731
111985.206,0.030316319
111988.184,0.07195053
111761.154,0.715131296
111782.876,0.228572278
111750.196,0.550938045
111768.95,0.288564349
111956.144,0.680727138
111969.457,0.17597889
111950.313,0.526682521
111963.303,0.240741904
111802.746,0.066174899
111979.923,0.020022243
112127.948,0.606393957
112134.001,0.078343252
