Volume [m^3],Pressure [Pa],Velocity [m/s]
3.42E-07,206620.684,0.109140471
3.42E-07,206612.257,0.10083348
3.32E-07,207102.426,0.108555262
3.32E-07,207092.65,0.119676699
3.42E-07,206612.083,0.113068485
3.42E-07,206604.49,0.106687202
2.62E-07,206127.2,0.129501315
2.62E-07,205629.387,0.131657144
2.62E-07,206119.783,0.128112623
2.62E-07,205623.833,0.124829286
3.42E-07,206119.353,0.100331856
3.42E-07,206116.462,0.07673806
3.42E-07,205624.249,0.090986727
3.42E-07,205622.303,0.061571527
3.42E-07,206112.709,0.09808175
3.42E-07,206110.355,0.080189955
3.42E-07,205618.843,0.08789991
3.42E-07,205617.389,0.065257092
3.32E-07,207117.495,0.080799689
3.32E-07,207111.108,0.083133091
3.42E-07,206627.386,0.071114683
3.42E-07,206622.176,0.067603334
3.32E-07,207103.945,0.100164021
3.32E-07,207097.453,0.101155714
3.42E-07,206616.095,0.083829483
3.42E-07,206611.5,0.0801724
3.32E-07,207106.264,0.085007762
3.32E-07,207100.986,0.088316548
3.42E-07,206617.208,0.067925062
3.42E-07,206611.978,0.066401074
3.32E-07,207092.559,0.101764534
3.32E-07,207087.356,0.102723945
3.42E-07,206606.761,0.078568582
3.42E-07,206601.99,0.075291408
3.42E-07,206128.72,0.060160895
3.42E-07,206124.504,0.055487991
3.42E-07,205631.37,0.059653891
3.42E-07,205627.786,0.059072858
3.42E-07,206120.02,0.062069368
3.42E-07,206116.595,0.057729631
3.42E-07,205625.212,0.050733097
3.42E-07,205621.909,0.049793249
3.42E-07,206120.182,0.055838998
3.42E-07,206115.315,0.053920786
3.42E-07,205623.762,0.060961038
3.42E-07,205619.838,0.060873915
3.42E-07,206112.193,0.056015099
3.42E-07,206107.827,0.052359904
3.42E-07,205617.983,0.050082058
3.42E-07,205613.842,0.047982745
3.32E-07,207093.017,0.113602992
3.32E-07,207087.224,0.112900638
3.42E-07,206606.54,0.09501413
3.42E-07,206602.456,0.09161985
3.32E-07,207085.643,0.12179572
3.32E-07,207080.934,0.119329584
3.42E-07,206599.57,0.103643094
3.42E-07,206595.301,0.102204767
3.32E-07,207082.779,0.111939664
3.32E-07,207077.959,0.111563488
3.42E-07,206598.213,0.089045901
3.42E-07,206593.836,0.085333953
3.32E-07,207076.687,0.118265149
3.32E-07,207071.977,0.117354263
3.42E-07,206591.516,0.098473387
3.42E-07,206587.563,0.094397047
3.42E-07,206112.614,0.068049035
3.42E-07,206109.553,0.064207746
3.42E-07,205619.946,0.053087964
3.42E-07,205616.993,0.051278244
3.42E-07,206107.048,0.074587399
3.42E-07,206104.107,0.071329075
3.42E-07,205615.115,0.059269989
3.42E-07,205612.095,0.05651106
3.42E-07,206105.55,0.06108219
3.42E-07,206101.431,0.057876911
3.42E-07,205613.111,0.049994799
3.42E-07,205608.93,0.047757453
3.42E-07,206100.297,0.06813238
3.42E-07,206096.014,0.065206173
3.42E-07,205608.072,0.05358471
3.42E-07,205603.666,0.04966676
2.62E-07,205149.473,0.143456157
2.62E-07,204654.868,0.146605122
2.62E-07,205140.752,0.138344403
2.62E-07,204646.531,0.137952539
3.42E-07,205144.679,0.107472994
3.42E-07,205140.698,0.071728538
3.42E-07,204650.945,0.105863873
3.42E-07,204648.455,0.072757296
3.42E-07,205137.316,0.092640901
3.42E-07,205134.791,0.056657688
3.42E-07,204644.496,0.088536903
3.42E-07,204642.5,0.053950409
2.62E-07,204162.148,0.145243324
2.62E-07,203670.043,0.143622362
2.62E-07,204153.936,0.136459039
2.62E-07,203661.075,0.136107092
3.42E-07,204158.66,0.104812727
3.42E-07,204158.403,0.073406149
3.42E-07,203667.128,0.103479617
3.42E-07,203667.982,0.072745249
3.42E-07,204152.011,0.086398299
3.42E-07,204150.296,0.051632308
3.42E-07,203659.46,0.084181126
3.42E-07,203658.335,0.047821663
2.62E-07,205134.155,0.131236038
2.62E-07,204641.183,0.129323308
2.62E-07,205129.336,0.123474521
2.62E-07,204637.04,0.122466167
3.42E-07,205131.86,0.083491798
3.42E-07,205130.165,0.056158741
3.42E-07,204640.085,0.079306668
3.42E-07,204638.705,0.054512917
3.42E-07,205127.29,0.080668086
3.42E-07,205125.659,0.060889589
